ID,sensor_id,Latitude,Longitude
1,41,-37.81668633,144.9668973
2,46,-37.80240719,144.9615673
3,30,-37.81121849,144.9665681
4,24,-37.81887962,144.954492
5,20,-37.81172913,144.9682466
6,19,-37.81237202,144.9655067
7,44,-37.79690473,144.9644038
8,54,-37.804024,144.963084
9,11,-37.81564989,144.939707
10,56,-37.81234775,144.9615331
11,39,-37.81379749,144.9699575
12,2,-37.81380667,144.9651672
13,53,-37.8156419,144.965499
14,18,-37.81344861,144.9730535
15,12,-37.81457987,144.942924
16,37,-37.80310271,144.9667145
17,33,-37.81483252,144.9745406
18,36,-37.81652527,144.9612106
19,21,-37.81244703,144.9677876
20,17,-37.81362542,144.9732359
21,49,-37.80730067,144.9595606
22,52,-37.81252157,144.9619401
23,29,-37.81965808,144.9686345
24,15,-37.81064378,144.9644713
25,13,-37.81239679,144.9565265
26,42,-37.80008565,144.9638641
27,27,-37.80606888,144.9564469
28,32,-37.81573742,144.9668572
29,34,-37.81537985,144.9741505
30,40,-37.80999341,144.9722759
31,28,-37.82129924,144.9687931
32,1,-37.8134944,144.9651532
33,14,-37.82011242,144.962919
34,26,-37.80869542,144.960494
35,9,-37.81982992,144.9510256
36,38,-37.81723437,144.9671503
37,4,-37.81487988,144.9660878
38,35,-37.82017828,144.9650888
39,43,-37.79844525,144.9641178
40,25,-37.82401776,144.9560443
41,50,-37.79808191,144.9672101
42,8,-37.82293543,144.9471751
43,51,-37.80841814,144.9590632
44,31,-37.8016968,144.9665891
45,5,-37.81874249,144.9678766
46,6,-37.81911704,144.9655826
47,3,-37.81101523,144.9642949
48,55,-37.81006172,144.9614234
49,22,-37.81786445,144.9650682
50,48,-37.80631581,144.958667
51,23,-37.81909256,144.9545275
52,47,-37.81160331,144.9622008
53,59,-37.80825648,144.9630486
54,45,-37.81414074,144.9660938
55,7,-37.81832375,144.9714148
56,60,-37.81668188,144.9668954
57,16,-37.81573423,144.9652104
58,58,-37.81686074,144.9535808
59,57,-37.8176735,144.950256
60,10,-37.81876473,144.9471055
